From;To;Value;col
Algeria;France;10105;#e8702a
Algeria;Hungary;1465;#e8702a
Algeria;Austria;2925;#e8702a
Algeria;Greece;2100;#e8702a
Algeria;Netherlands;2135;#e8702a
Algeria;Switzerland;1850;#e8702a
Algeria;United Kingdom;825;#e8702a
Algeria;Belgium;545;#e8702a
Algeria;West Med m;512;#e8702a
Senegal;Austria;155;#e8702a
Senegal;Belgium;870;#e8702a
Senegal;France;2955;#e8702a
Senegal;Germany;3185;#e8702a
Senegal;Greece;285;#e8702a
Senegal;Hungary;370;#e8702a
Senegal;Italy;27875;#e8702a
Senegal;Netherlands;170;#e8702a
Senegal;Sweden;165;#e8702a
Senegal;Switzerland;1015;#e8702a
Senegal;United Kingdom;110;#e8702a
Senegal;West Med m;245;#e8702a
Senegal;Mid Med s;151;#e8702a
Cote d'Ivoire;Germany;3995;#e8702a
Cote d'Ivoire;Italy;21020;#e8702a
Cote d'Ivoire;Sweden;95;#e8702a
Cote d'Ivoire;France;8260;#e8702a
Cote d'Ivoire;Hungary;385;#e8702a
Cote d'Ivoire;Austria;120;#e8702a
Cote d'Ivoire;Greece;265;#e8702a
Cote d'Ivoire;Netherlands;170;#e8702a
Cote d'Ivoire;Switzerland;870;#e8702a
Cote d'Ivoire;United Kingdom;185;#e8702a
Cote d'Ivoire;Belgium;540;#e8702a
Cote d'Ivoire;West Med s;234;#e8702a
Cote d'Ivoire;Mid Med s;125;#e8702a
